Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
2012-04-26,5851.6,5903.2,5833.1,5871.9,18780439,1328.18
2012-04-27,5866.7,5947.45,5866.7,5940.35,13904534,891.17
2012-04-28,5949.45,5954.5,5927.65,5943.1,699150,33.01
2012-04-30,5938.9,6096,5938.9,6085.4,10139193,794.98
2012-05-02,6085.25,6148.95,6085.25,6124.9,10663170,781.7
2012-05-03,6101.55,6180.7,6101.55,6161.1,11598403,823.22
2012-05-04,6160.6,6201.9,6068.05,6100.35,12379272,828.53
2012-05-07,6023.1,6101.1,5957.3,6089.2,11413794,715.83
2012-05-08,5965.95,5965.95,5855.05,5901.45,16983723,1206.14
2012-05-09,5856.65,5946.7,5856.65,5898.8,14863012,1082.76
2012-05-10,5903.4,5934.35,5854.3,5890,11629731,668.39
2012-05-11,5870.75,5898.6,5816.35,5830.8,9117546,611
2012-05-14,5831.55,5877.05,5802.3,5855.85,8773614,579.02
2012-05-15,5801.85,5973.65,5801.85,5956.3,9740907,605.21
2012-05-16,5894.2,5927.75,5845.5,5870.25,11483554,771.51
2012-05-17,5870.7,5896.65,5811.45,5869.1,13649133,661.94
2012-05-18,5778,5904.6,5763.7,5865.45,11490107,594.36
2012-05-21,5865.2,5875.3,5773.5,5796.55,9249905,441.84
2012-05-22,5833.3,5859.5,5789.1,5822.45,11526468,482.61
2012-05-23,5854.5,5865.3,5766.8,5832.15,10545921,439.15
2012-05-24,5836,5895.6,5781.5,5886.1,13659199,576.15
2012-05-25,5853.8,5895.05,5832.75,5879.85,8522240,343.85
2012-05-28,5910.5,5934.95,5868.9,5916.3,6339009,300.53
2012-05-29,5927.9,6005.85,5904.9,5983.25,10251739,443.01
2012-05-30,5961.8,6059.55,5954.3,6012.35,11346810,555.77
2012-05-31,5946.3,6138.95,5929.6,6008.8,18957424,1255.67
2012-06-01,5977.65,5995.75,5895,5902.75,10508579,489.58
2012-06-04,5855.35,5899.2,5802.85,5884,9289755,365.1
2012-06-05,5884.1,5944.4,5883.65,5904.9,11583074,521.59
2012-06-06,5922.15,6035.9,5922.15,5999.25,13786407,730.51
2012-06-07,6034.8,6054.35,6001.4,6021.8,14897646,593.04
2012-06-08,6052.95,6052.95,5930.05,5975.5,10809606,517.94
2012-06-11,5990.9,6027.75,5949.15,5965.45,11508752,471.81
2012-06-12,5912.35,6033.2,5912.35,6017.95,11195008,447.23
2012-06-13,6013,6079.55,6003.85,6040.8,9128371,441.62
2012-06-14,6030.35,6098.9,6028.6,6065.25,11093011,515.49
2012-06-15,6083.9,6142.3,6079.4,6134.45,10884173,514.27
2012-06-18,6155.2,6185.6,6053.45,6082,13474835,605.88
2012-06-19,6065.8,6087.3,6027.05,6069.15,13870800,600.4
2012-06-20,6072.3,6084.1,6039,6051.45,25845280,765.65
2012-06-21,6018.1,6056.65,5976.35,6043.35,18006743,722.49
2012-06-22,5966.2,6044.45,5966.2,6028.55,14241531,581.75
2012-06-25,6033,6058.9,5985.25,5997.05,14023545,603.86
2012-06-26,5976.65,6003.4,5965.2,5988.6,15829176,692.63
2012-06-27,6008.1,6060.6,6006.45,6042.4,15927582,707.97
2012-06-28,6037.15,6079.15,6021.9,6055.65,32127650,749.58
2012-06-29,6093.9,6167.1,6083.25,6144.6,36446218,811.07
2012-07-02,6141.7,6159.55,6114.75,6120.9,31353883,598.28
2012-07-03,6152.5,6152.5,6064.7,6087.5,30253021,655.96
2012-07-04,6103.2,6111.05,6035.95,6074.75,34153379,563.64
2012-07-05,6075.5,6084.35,6046.25,6077.35,20569491,518.75
